Sample,Pathlength,Temperature,Absorbance
1,0.1,11.3,1.4822
1,0.1,11.5,1.4822
1,0.1,12.0,1.4845
1,0.1,12.4,1.4845
1,0.1,12.8,1.4857
1,0.1,13.2,1.4857
1,0.1,13.7,1.4881
1,0.1,14.1,1.4893
1,0.1,14.6,1.4905
1,0.1,15.0,1.4905
1,0.1,15.4,1.4929
1,0.1,15.9,1.4941
1,0.1,16.4,1.4953
1,0.1,16.8,1.4965
1,0.1,16.9,1.4977
1,0.1,17.5,1.499
1,0.1,18.0,1.5002
1,0.1,18.5,1.5014
1,0.1,19.0,1.5026
1,0.1,19.4,1.5026
1,0.1,19.9,1.5051
1,0.1,20.4,1.5064
1,0.1,20.9,1.5076
1,0.1,21.4,1.5088
1,0.1,21.9,1.5088
1,0.1,22.4,1.5114
1,0.1,22.9,1.5114
1,0.1,23.4,1.5126
1,0.1,23.9,1.5139
1,0.1,24.4,1.5152
1,0.1,24.9,1.5164
1,0.1,25.3,1.5164
1,0.1,25.8,1.5177
1,0.1,26.3,1.519
1,0.1,26.8,1.519
1,0.1,27.2,1.5203
1,0.1,27.7,1.5215
1,0.1,28.2,1.5241
1,0.1,28.7,1.5241
1,0.1,29.2,1.5254
1,0.1,29.7,1.528
1,0.1,30.2,1.5294
1,0.1,30.7,1.5294
1,0.1,31.2,1.532
1,0.1,31.7,1.5346
1,0.1,32.2,1.5373
1,0.1,32.6,1.536
1,0.1,33.2,1.5386
1,0.1,33.6,1.54
1,0.1,34.2,1.5413
1,0.1,34.6,1.5427
1,0.1,35.2,1.544
1,0.1,35.6,1.5468
1,0.1,36.1,1.5481
1,0.1,36.6,1.5509
1,0.1,37.1,1.5536
1,0.1,37.5,1.555
1,0.1,38.0,1.5592
1,0.1,38.5,1.562
1,0.1,39.0,1.5649
1,0.1,39.5,1.5677
1,0.1,40.0,1.5721
1,0.1,40.5,1.575
1,0.1,41.0,1.5794
1,0.1,41.5,1.5838
1,0.1,42.0,1.5883
1,0.1,42.4,1.5928
1,0.1,42.9,1.5974
1,0.1,43.5,1.6036
1,0.1,44.0,1.6083
1,0.1,44.5,1.6146
1,0.1,44.9,1.6194
1,0.1,45.5,1.6259
1,0.1,45.9,1.6342
1,0.1,46.5,1.6392
1,0.1,46.9,1.6478
1,0.1,47.5,1.653
1,0.1,47.9,1.6636
1,0.1,48.4,1.669
1,0.1,49.0,1.68
1,0.1,49.5,1.6875
1,0.1,49.9,1.697
1,0.1,50.5,1.7107
1,0.1,50.9,1.7208
1,0.1,51.5,1.7332
1,0.1,51.9,1.746
1,0.1,52.4,1.7547
1,0.1,52.9,1.7681
1,0.1,53.4,1.782
1,0.1,53.9,1.7939
1,0.1,54.4,1.8037
1,0.1,54.9,1.8137
1,0.1,55.4,1.8239
1,0.1,55.9,1.8397
1,0.1,56.4,1.8478
1,0.1,56.9,1.8588
1,0.1,57.4,1.8731
1,0.1,57.9,1.876
1,0.1,58.4,1.8878
1,0.1,58.9,1.8938
1,0.1,59.4,1.9
1,0.1,59.8,1.9062
1,0.1,60.4,1.9125
1,0.1,60.9,1.9221
1,0.1,61.4,1.9253
1,0.1,61.9,1.9319
1,0.1,62.4,1.9319
1,0.1,62.8,1.9386
1,0.1,63.4,1.942
1,0.1,63.8,1.9488
1,0.1,64.3,1.9488
1,0.1,64.9,1.9593
1,0.1,65.3,1.9593
1,0.1,65.9,1.9628
1,0.1,66.3,1.9628
1,0.1,66.8,1.9664
1,0.1,67.4,1.97
1,0.1,67.8,1.9736
1,0.1,68.3,1.9773
1,0.1,68.8,1.981
1,0.1,69.2,1.9847
1,0.1,69.9,1.9847
1,0.1,70.3,1.9885
1,0.1,70.8,1.9923
1,0.1,71.3,1.9961
